,of,descricao,quantidade,quantidade precedencia,centro de trabalho,n.º maquinas
48,1600064906,"PL CC 8747/000 1000X500X2,0  NE",296.0,2.85,CNMLAMPL,6
49,1600066935,PL CC 9431/000 950X650X100 NE,135.0,67.838,CNMSERPL,1
50,1600064907,PL CC 8872/000 950X650X156 00,300.0,309.0,CNMSERPL,1
51,1600065031,PL CC 8512/000 950X650X170 NE,10.0,10.16,CNMSERPL,1
52,1600068697,PL CC 9431/000 950X650X100 NE,21.0,10.553,CNMSERPL,1
53,1600069752,PL CC 8512/000 950X650X170 NE,10.0,10.16,CNMSERPL,1
54,1600068871,"PL CC 8004/000  940X640X50,0 NE",12.0,3.09,CNMSERPL,1
55,1600065677,"PL CC 8512/000  915X610X1,0  NE",4200.0,21.336,CNMLAMPL,6
56,1600066998,BL CC 8872/000 940X640X245 CV,80.0,5.0,CNMLAMPL,6
57,1600070927,"PL CC P050/S21 1270X765X3,2 NE",66.0,1.755,CNMLAMLX,1
58,1600074377,BL CC 8827/ORT 915X610X250 NE,139.0,0.0,CNMRETBL,1
59,1600070929,"PL CC P050/000 1270X765X2,5 NE",33.0,0.596,CNMLAMPL,6
60,1600065522,PL CC 8827/000 940X640X117 01,4.0,1.0,CNMSERPL,1
61,1600063568,"PL CC 8404/S11 1030X530X6,0 NE",7236.0,221.59,CNMLAMLX,1
62,1600074786,"PL CC 8404/S11 1030X530X6,0 NE",7236.0,221.59,CNMLAMLX,1
63,1600056525,"PL CI 5404/PAK 915X610X10,0 NE",1400.0,72.1,CNMLAMPL,2
64,1600056790,PL CC 8827/000 940X640X102 01,8.0,1.0,CNMSERPL,1
65,1600057221,PL CC 8827/000 940X640X102 01,40.0,16.0,CNMSERPL,1
66,1600057222,PL CC 8827/000 940X640X117 01,5.0,2.5,CNMSERPL,1
67,1600056781,PL CC 8827/000 940X640X102 01,8.0,4.0,CNMSERPL,1
68,1600053184,"PL CC 8827/PAK 915X610X12,4 00",5616.0,39.0,CNMLAMPL,2
69,1600052906,"PL CI 5404/PAK 915X610X5,0 NE",5700.0,146.775,CNMLAMPL,2
70,1600048929,"PL CC 8403/000 915X610X6,0 NE",1280.0,30.239,CNMLAMPL,6
71,1600048005,"PL CC 8403/000 915X610X6,0 NE",1280.0,30.239,CNMLAMPL,6
72,1600070924,"PL CC P050/S21 1270X765X3,5 NE",209.0,6.033,CNMLAMLX,1
73,1600074438,"PL CC 8403/000 915X610X6,0 NE",2560.0,60.478,CNMLAMPL,6
74,1600073174,PL CC 8872/000 950X650X105 01,100.0,103.0,CNMSERPL,1
75,1600072307,BL CC 8872/000 940X640X245 CV,80.0,80.0,CNMLAMPL,6
76,1600072306,PL CC 8872/000 940X640X195 NE,80.0,80.0,CNMSERPL,1
77,1600071291,"PL CC 8403/S21 940X640X9,0 NE",2000.0,77.694,CNMLAMLX,1
78,1600074784,"PL CC 8405/S21 940X640X6,0 NE",334.0,9.014,CNMLAMLX,1
79,1600073285,"PL CC 8405/S21 940X640X6,0 NE",334.0,9.014,CNMLAMLX,1
80,1600073283,"PL CC 8405/S21 940X640X6,0 NE",167.0,4.507,CNMLAMLX,1
81,1600073295,"PL CC 8003/S11 940X640X2,9 NE",33.0,0.406,CNMLAMLX,1
82,1600074782,"PL CC 8003/S11 940X640X2,9 NE",33.0,0.406,CNMLAMLX,1
83,1600074347,"PL CC 8003/S21 940X640X2,9 ZZ",155.0,2.164,CNMLAMLX,1
84,1600074781,"PL CC 8003/S21 940X640X2,9 ZZ",155.0,2.164,CNMLAMLX,1
85,1600070941,"PL CC 8827/000 1000X500X14,0 NE",336.0,22.737,CNMLAMPL,6
86,1600073137,"PL CC 8303/000 1000X500X30,0 NE",40.0,6.741,CNMSERPL,1
87,1600074783,"PL CC 8405/S21 940X640X6,0 NE",167.0,4.507,CNMLAMLX,1
88,1600058339,"PL CC 8405/000 915X610X30,0 NE",20.0,2.892,CNMSERPL,1
89,1600062894,"PL CC 8004/000 900X600X4,0 NE",150.0,2.493,CNMLAMPL,6
90,1600075104,"PL CC 8003/000 940X640X91,0 NE",30.0,15.495,CNMSERPL,1
91,1600023323,"PL CC 8003/S21 940X640X89,0 CV",30.0,30.0,CNMLAMLXOUT,1
92,1600038390,"PL CC 8122/000 950X650X1,3 NE",27720.0,191.441,CNMLAMPL,6
93,1600074383,BL CC 8004/ORT 900X600X250 NE,13.0,13.0,CNMRETBL,1
94,1600074380,BL CC 9431/ORT 950X650X200 NE,4.0,4.0,CNMRETBL,1
95,1600074386,BL CC 8405/ORT 900X600X250 NE,16.0,16.0,CNMRETBL,1
96,1600072540,"PL CC 8405/000 878X578X0,8 NE",10000.0,32.435,CNMLAMPL,6
97,1600066560,"PL CC 8004/000 770X568X0,8 NE",1500.0,4.952,CNMLAMPL,6
98,1600069146,"PL CI 5084/S11 1030X530X4,0 NE",81.0,1.62,CNMLAMLX,1
99,1600074375,BL CC 8405/ORT 915X610X250 NE,55.0,55.0,CNMRETBL,1
100,1600056543,"PL CC 8745/S21 800X600X9,7 NE",12379.0,634.424,CNMLAMLX,1
101,1600074357,BL CC 8004/ORT 1000X500X210 NE,27.0,27.0,CNMRETBL,1
102,1600074360,BL CI 5404/ORT 915X610X200 NE,220.0,220.0,CNMRETBL,1
103,1600074376,BL CC 8872/ORT 950X650X200 NE,412.0,412.0,CNMRETBL,1
104,1600074378,BL CC 8827/ORT 940X640X250 NE,5.0,5.0,CNMRETBL,1
105,1600074379,BL CC 8826/ORT 915X610X250 NE,2.0,2.0,CNMRETBL,1
106,1600074361,BL CC 8303/ORT 1000X500X210 NE,60.0,60.0,CNMRETBL,1
107,1600074364,BL CC 8004/ORT 940X640X250 NE,4.0,4.0,CNMRETBL,1
108,1600074365,BL CC 8747/ORT 1000X500X210 NE,24.0,24.0,CNMRETBL,1
109,1600074366,BL CC 8702/ORT 950X650X200 NE,29.0,29.0,CNMRETBL,1
110,1600074367,BL CC 8512/ORT 950X650X200 NE,22.0,22.0,CNMRETBL,1
111,1600074368,BL CC 8003/ORT 915X610X250 NE,29.0,29.0,CNMRETBL,1
112,1600074372,BL CC 8403/ORT 915X610X200 NE,102.0,102.0,CNMRETBL,1
113,1600074384,BL CC 8304/ORT 1000X500X210 NE,53.0,53.0,CNMRETBL,1
114,1600074385,BL CC 8405/ORT 1000X500X210 NE,472.0,472.0,CNMRETBL,1
115,1600074388,BL CC 8827/ORT 1000X500X210 NE,23.0,23.0,CNMRETBL,1
116,1600074390,BL CC 8405/ORT 878X578X250 NE,33.0,33.0,CNMRETBL,1
117,1600074356,BL CC 8781/ORT 915X610X210 NE,25.0,25.0,CNMRETBL,1
118,1600074249,BL CC 8004/ORT 915X610X250 NE,88.0,88.0,CNMRETBL,1
119,1600060384,"PL CC 8304/000 1000X500X5,0 NE",2160.0,52.562,CNMLAMPL,6
120,1600064827,PL CC 8003/000  915X610X100 NE,9.0,4.061,CNMSERPL,1
121,1600047619,"PL CC 8303/000 1000X500X16,0 NE",680.0,52.884,CNMLAMPL,6
122,1600052338,"PL CC 8405/000 1000X500X5,0 NE",4608.0,111.034,CNMLAMPL,6
123,1600060527,"PL CC 8405/000 1000X500X10,0 06",360.0,17.349,CNMLAMPL,6
124,1600060528,"PL CC 8405/000 1000X500X5,0 01",720.0,1.0,CNMLAMPL,6
125,1600059298,"PL CC 8003/000 915X610X10,0 NE",160.0,6.612,CNMLAMPL,6
126,1600059296,"PL CC 8003/000 915X610X8,0 NE",500.0,16.662,CNMLAMPL,6
127,1600059316,"PL CC 8004/000 915X610X2,7 NE",7840.0,0.0,CNMLAMPL,6
128,1600059289,"PL CC 9431/000 950X650X50,0 NE",12.0,4.021,CNMSERPL,1
129,1600064904,"PL CC 8405/000 900X600X5,0 NE",792.0,16.031,CNMLAMPL,6
130,1600070018,"PL CC 8781/000  915X610X25,4 NE",48.0,6.919,CNMSERPL,1
131,1600058343,"PL CC 8405/000 915X610X7,0 NE",168.0,4.858,CNMLAMPL,6
132,1600056718,"PL CC 8403/PXX 915X610X12,7 01",300.0,15.95,CNMLAMPL,2
133,1600056404,"PL CC 8405/000 940X640X5,0 B0",500.0,0.83,CNMLAMPL,6
134,1600056454,"PL CC 8826/000  915X610X30,0 NE",10.0,1.486,CNMSERPL,1
135,1600056325,"PL CC 8405/S21 940X640X7,0 CV",1000.0,4.0,CNMLAMLX,1
136,1600056324,"PL CC 8405/S21 940X640X8,0 01",1000.0,34.897,CNMLAMLX,1
137,1600056323,"PL CC 8405/S21 940X640X9,0 01",4000.0,161.92,CNMLAMLX,1
138,1600058882,"PL CC 8405/S21 940X64024,0 CV",300.0,30.36,CNMLAMLX,1
139,1600060388,"PL CC 8702/000 950X650X20,0 NE",24.0,3.087,CNMSERPL,1
140,1600064253,"PL CC 8702/000 950X650X45,0 01",24.0,1.0,CNMSERPL,1
141,1600064252,"PL CC 8702/000 950X650X30,0 01",24.0,4.8,CNMSERPL,1
142,1600064251,"PL CC 8702/000 950X650X21,0 01",28.0,1.0,CNMSERPL,1
143,1600064250,"PL CC 8702/000 950X650X19,5 01",28.0,1.0,CNMSERPL,1
144,1600064249,"PL CC 8702/000 950X650X18,0 01",56.0,6.223,CNMSERPL,1
145,1600064248,"PL CC 8702/000 950X650X16,5 01",28.0,1.0,CNMSERPL,1
146,1600054431,"PL CC 8004/000  940X640X1,2  NE",3024.0,0.0,CNMLAMPL,6
147,1600054433,"PL CC 8004/000  940X640X1,5  NE",6000.0,37.266,CNMLAMPL,6
148,1600054435,"PL CC 8004/000 940X640X3,0 NE",3000.0,37.235,CNMLAMPL,6
149,1600054802,"PL CC 8405/000 940X640X0,8  NE",12300.0,39.832319999999996,CNMLAMPL,6
150,1600054223,"PL CC 8405/000 915X610X6,0 NE",1781.0,0.0,CNMLAMPL,6
151,1600054225,"PL CC 8405/000 915X610X10,0 NE",2592.0,0.0,CNMLAMPL,6
152,1600052335,"PL CC 8405/000 1000X500X3,0 NE",22464.0,324.863,CNMLAMPL,6
153,1600070016,"PL CC 8781/000  915X610X19,0 NE",16.0,1.794,CNMSERPL,1
