Ordem,Material,Denominação,Status,Kanban,Centro,Tipo de ordem,Texto breve,Ordem Venda / Transf,Item OV/Transf,Qtd.teórica,UM básica,Consumos Permitidos,Data modif.,Dt-base início,Data-base fim,Versão prod.,Operação,TxtDesc.Oper.,Status Op.,Centro trabalho,Cadência Máquina (h),Cadência Hora (h),Unid.ValStand.,Capacidade Alocada,Núm.partições,Componente,Denominação componente,Lote,Qtd. componente,UM componente,Co-produto,Reserva,Item reserva,Semana,Planeador
1600061005,71000656,JT CI 5351/000 101-SC 5 01,ABER,,3801,ZCEJ,CCS EMB Juntas,3820009713,20,5000,UN,TRUE,,1/28/2022,1/28/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,1,0,S,5000,1,90301398,ME PALETE HT EURO 1200X800X145 USADAS,,4,PAL,FALSE,11275156,2,4,CCS
1600061005,71000656,JT CI 5351/000 101-SC 5 01,ABER,,3801,ZCEJ,CCS EMB Juntas,3820009713,20,5000,UN,TRUE,,1/28/2022,1/28/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,1,0,S,5000,1,90300605,ME CX (+E) 1156X753X450 14151,,8,CX,FALSE,11275156,1,4,CCS
1600061005,71000656,JT CI 5351/000 101-SC 5 01,ABER,,3801,ZCEJ,CCS EMB Juntas,3820009713,20,5000,UN,TRUE,,1/28/2022,1/28/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,1,0,S,5000,1,71001438,"JT CI 5351/000 101-SC 5,0 NE",,5000,UN,FALSE,11275156,4,4,CCS
1600061005,71000656,JT CI 5351/000 101-SC 5 01,ABER,,3801,ZCEJ,CCS EMB Juntas,3820009713,20,5000,UN,TRUE,,1/28/2022,1/28/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,1,0,S,5000,1,90301076,ME ETIQ ELRING 102X23,,200,UN,FALSE,11275156,3,4,CCS
1600061060,71001558,"JT CI 5351/000 100-SUZ 4,0 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009736,20,10000,UN,TRUE,,1/21/2022,1/21/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,10000,10000,H,1,1,90301398,ME PALETE HT EURO 1200X800X145 USADAS,,5,PAL,FALSE,11275184,2,3,CCS
1600061060,71001558,"JT CI 5351/000 100-SUZ 4,0 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009736,20,10000,UN,TRUE,,1/21/2022,1/21/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,10000,10000,H,1,1,71001437,"JT CI 5351/000 100-SUZ 4,0 NE",,10000,UN,FALSE,11275184,4,3,CCS
1600061060,71001558,"JT CI 5351/000 100-SUZ 4,0 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009736,20,10000,UN,TRUE,,1/21/2022,1/21/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,10000,10000,H,1,1,90301076,ME ETIQ ELRING 102X23,,400,UN,FALSE,11275184,3,3,CCS
1600061060,71001558,"JT CI 5351/000 100-SUZ 4,0 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009736,20,10000,UN,TRUE,,1/21/2022,1/21/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,10000,10000,H,1,1,90300605,ME CX (+E) 1156X753X450 14151,,10,CX,FALSE,11275184,1,3,CCS
1600061070,71004819,"JT CR 5351/000 103-FT 4,00 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009737,20,6000,UN,TRUE,,1/21/2022,1/21/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,18000,18000,H,0.333,1,90301398,ME PALETE HT EURO 1200X800X145 USADAS,,2,PAL,FALSE,11275217,3,3,CCS
1600061070,71004819,"JT CR 5351/000 103-FT 4,00 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009737,20,6000,UN,TRUE,,1/21/2022,1/21/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,18000,18000,H,0.333,1,90301111,ME CANTONEIRA CARTÃO 900X40X40X3,,13,UN,FALSE,11275217,4,3,CCS
1600061070,71004819,"JT CR 5351/000 103-FT 4,00 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009737,20,6000,UN,TRUE,,1/21/2022,1/21/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,18000,18000,H,0.333,1,71004820,"JT CR 5351/000 103-FT 4,0 NE",,6000,UN,FALSE,11275217,1,3,CCS
1600061070,71004819,"JT CR 5351/000 103-FT 4,00 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009737,20,6000,UN,TRUE,,1/21/2022,1/21/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,18000,18000,H,0.333,1,90300605,ME CX (+E) 1156X753X450 14151,,4,CX,FALSE,11275217,2,3,CCS
1600061081,71000326,"JT CR 1521/C01 101-VX 2,6 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009738,20,6000,UN,TRUE,,1/6/2022,1/7/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,10500,10500,H,0.571,1,90301398,ME PALETE HT EURO 1200X800X145 USADAS,,3,PAL,FALSE,11275133,3,1,CCS
1600061081,71000326,"JT CR 1521/C01 101-VX 2,6 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009738,20,6000,UN,TRUE,,1/6/2022,1/7/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,10500,10500,H,0.571,1,90301076,ME ETIQ ELRING 102X23,,120,UN,FALSE,11275133,2,1,CCS
1600061081,71000326,"JT CR 1521/C01 101-VX 2,6 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009738,20,6000,UN,TRUE,,1/6/2022,1/7/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,10500,10500,H,0.571,1,71001006,"JT CR 1521/2C2 101-VX 2,6 NE",,6000,UN,FALSE,11275133,4,1,CCS
1600061081,71000326,"JT CR 1521/C01 101-VX 2,6 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009738,20,6000,UN,TRUE,,1/6/2022,1/7/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,10500,10500,H,0.571,1,90300605,ME CX (+E) 1156X753X450 14151,,6,CX,FALSE,11275133,1,1,CCS
1600061087,71000326,"JT CR 1521/C01 101-VX 2,6 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009738,30,5000,UN,TRUE,,2/24/2022,2/25/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,10500,10500,H,0.476,1,90301398,ME PALETE HT EURO 1200X800X145 USADAS,,3,PAL,FALSE,11275134,3,8,CCS
1600061087,71000326,"JT CR 1521/C01 101-VX 2,6 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009738,30,5000,UN,TRUE,,2/24/2022,2/25/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,10500,10500,H,0.476,1,71001006,"JT CR 1521/2C2 101-VX 2,6 NE",,5000,UN,FALSE,11275134,4,8,CCS
1600061087,71000326,"JT CR 1521/C01 101-VX 2,6 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009738,30,5000,UN,TRUE,,2/24/2022,2/25/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,10500,10500,H,0.476,1,90301076,ME ETIQ ELRING 102X23,,100,UN,FALSE,11275134,2,8,CCS
1600061087,71000326,"JT CR 1521/C01 101-VX 2,6 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009738,30,5000,UN,TRUE,,2/24/2022,2/25/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,10500,10500,H,0.476,1,90300605,ME CX (+E) 1156X753X450 14151,,5,CX,FALSE,11275134,1,8,CCS
1600062147,71001562,"JT CI 5351/000 105-VW 4,0 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009869,20,17000,UN,TRUE,,1/14/2022,1/14/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,24000,24000,H,0.708,1,71001442,"JT CI 5351/000 105-VW 4,0 NE",,17000,UN,FALSE,11396231,4,2,CCS
1600062147,71001562,"JT CI 5351/000 105-VW 4,0 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009869,20,17000,UN,TRUE,,1/14/2022,1/14/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,24000,24000,H,0.708,1,90301076,ME ETIQ ELRING 102X23,,1700,UN,FALSE,11396231,3,2,CCS
1600062147,71001562,"JT CI 5351/000 105-VW 4,0 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009869,20,17000,UN,TRUE,,1/14/2022,1/14/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,24000,24000,H,0.708,1,90300605,ME CX (+E) 1156X753X450 14151,,8,CX,FALSE,11396231,1,2,CCS
1600062147,71001562,"JT CI 5351/000 105-VW 4,0 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009869,20,17000,UN,TRUE,,1/14/2022,1/14/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,24000,24000,H,0.708,1,90301398,ME PALETE HT EURO 1200X800X145 USADAS,,4,PAL,FALSE,11396231,2,2,CCS
1600062157,71000324,"JT CR 1521/000 108-F 3,5 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009976,10,4000,UN,TRUE,,1/14/2022,1/14/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,1000,0,S,4,1,71001001,"JT CR 1521/OLM 108-F 3,5 NE",,4000,UN,FALSE,11396068,4,2,CCS
1600062157,71000324,"JT CR 1521/000 108-F 3,5 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009976,10,4000,UN,TRUE,,1/14/2022,1/14/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,1000,0,S,4,1,90301398,ME PALETE HT EURO 1200X800X145 USADAS,,2,PAL,FALSE,11396068,3,2,CCS
1600062157,71000324,"JT CR 1521/000 108-F 3,5 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009976,10,4000,UN,TRUE,,1/14/2022,1/14/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,1000,0,S,4,1,90301076,ME ETIQ ELRING 102X23,,160,UN,FALSE,11396068,2,2,CCS
1600062157,71000324,"JT CR 1521/000 108-F 3,5 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009976,10,4000,UN,TRUE,,1/14/2022,1/14/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,1000,0,S,4,1,90300605,ME CX (+E) 1156X753X450 14151,,4,CX,FALSE,11396068,1,2,CCS
1600062162,71000221,JT CR GT56/000 102-MAN 2 01,ABER,,3801,ZCEJ,CCS EMB Juntas,3820009845,10,5000,UN,TRUE,,1/14/2022,1/14/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,1,0,S,5000,1,71001270,JT CR GT56/000 102-MAN 2 NE,,5000,UN,FALSE,11396044,4,2,CCS
1600062162,71000221,JT CR GT56/000 102-MAN 2 01,ABER,,3801,ZCEJ,CCS EMB Juntas,3820009845,10,5000,UN,TRUE,,1/14/2022,1/14/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,1,0,S,5000,1,90300605,ME CX (+E) 1156X753X450 14151,,1,CX,FALSE,11396044,1,2,CCS
1600062162,71000221,JT CR GT56/000 102-MAN 2 01,ABER,,3801,ZCEJ,CCS EMB Juntas,3820009845,10,5000,UN,TRUE,,1/14/2022,1/14/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,1,0,S,5000,1,90301398,ME PALETE HT EURO 1200X800X145 USADAS,,1,PAL,FALSE,11396044,2,2,CCS
1600062162,71000221,JT CR GT56/000 102-MAN 2 01,ABER,,3801,ZCEJ,CCS EMB Juntas,3820009845,10,5000,UN,TRUE,,1/14/2022,1/14/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,1,0,S,5000,1,90301076,ME ETIQ ELRING 102X23,,200,UN,FALSE,11396044,3,2,CCS
1600062166,71000414,"JT CR S112/C01 112-O 2,9 EK",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009953,10,2500,UN,TRUE,,1/14/2022,1/14/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,10500,10500,H,0.238,1,90301398,ME PALETE HT EURO 1200X800X145 USADAS,,2,PAL,FALSE,11396103,3,2,CCS
1600062166,71000414,"JT CR S112/C01 112-O 2,9 EK",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009953,10,2500,UN,TRUE,,1/14/2022,1/14/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,10500,10500,H,0.238,1,90300605,ME CX (+E) 1156X753X450 14151,,3,CX,FALSE,11396103,2,2,CCS
1600062166,71000414,"JT CR S112/C01 112-O 2,9 EK",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009953,10,2500,UN,TRUE,,1/14/2022,1/14/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,10500,10500,H,0.238,1,71001015,"JT CR S112/2C2 112-O 2,9 NE",,2500,UN,FALSE,11396103,4,2,CCS
1600062166,71000414,"JT CR S112/C01 112-O 2,9 EK",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009953,10,2500,UN,TRUE,,1/14/2022,1/14/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,10500,10500,H,0.238,1,90301076,ME ETIQ ELRING 102X23,,50,UN,FALSE,11396103,1,2,CCS
1600062184,71001577,"JT CR HC80/000 100-BMW 1,0 00",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009875,10,2000,UN,TRUE,,1/14/2022,1/14/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,1,0,S,2000,1,90301398,ME PALETE HT EURO 1200X800X145 USADAS,,1,PAL,FALSE,11396268,2,2,CCS
1600062184,71001577,"JT CR HC80/000 100-BMW 1,0 00",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009875,10,2000,UN,TRUE,,1/14/2022,1/14/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,1,0,S,2000,1,90301076,ME ETIQ ELRING 102X23,,40,UN,FALSE,11396268,3,2,CCS
1600062184,71001577,"JT CR HC80/000 100-BMW 1,0 00",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009875,10,2000,UN,TRUE,,1/14/2022,1/14/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,1,0,S,2000,1,90300605,ME CX (+E) 1156X753X450 14151,,1,CX,FALSE,11396268,1,2,CCS
1600062184,71001577,"JT CR HC80/000 100-BMW 1,0 00",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009875,10,2000,UN,TRUE,,1/14/2022,1/14/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,1,0,S,2000,1,71001902,"JT CR HC80/000 100-BMW 1,0 NE",,2000,UN,FALSE,11396268,4,2,CCS
1600062189,71001544,"JT CR 1521/OLM 111-F 3,0 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009971,10,1000,UN,TRUE,,1/14/2022,1/14/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,1000,0,S,1,1,90301076,ME ETIQ ELRING 102X23,,200,UN,FALSE,11396199,4,2,CCS
1600062189,71001544,"JT CR 1521/OLM 111-F 3,0 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009971,10,1000,UN,TRUE,,1/14/2022,1/14/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,1000,0,S,1,1,90300605,ME CX (+E) 1156X753X450 14151,,1,CX,FALSE,11396199,2,2,CCS
1600062189,71001544,"JT CR 1521/OLM 111-F 3,0 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009971,10,1000,UN,TRUE,,1/14/2022,1/14/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,1000,0,S,1,1,90301398,ME PALETE HT EURO 1200X800X145 USADAS,,1,PAL,FALSE,11396199,3,2,CCS
1600062189,71001544,"JT CR 1521/OLM 111-F 3,0 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009971,10,1000,UN,TRUE,,1/14/2022,1/14/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,1000,0,S,1,1,71001357,"JT CR 1521/OLM 111-F 3,0 NE",,1000,UN,FALSE,11396199,1,2,CCS
1600062194,71000976,JT CR 1237/000 119-VW 3 00,ABER,,3801,ZCEJ,CCS EMB Juntas,3820009983,10,1512,UN,TRUE,,1/14/2022,1/14/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,1000,0,S,1.512,1,90301076,ME ETIQ ELRING 102X23,,61,UN,FALSE,11396167,2,2,CCS
1600062194,71000976,JT CR 1237/000 119-VW 3 00,ABER,,3801,ZCEJ,CCS EMB Juntas,3820009983,10,1512,UN,TRUE,,1/14/2022,1/14/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,1000,0,S,1.512,1,71001162,JT CR 1237/000 119-VW 3 NE,,1512,UN,FALSE,11396167,4,2,CCS
1600062194,71000976,JT CR 1237/000 119-VW 3 00,ABER,,3801,ZCEJ,CCS EMB Juntas,3820009983,10,1512,UN,TRUE,,1/14/2022,1/14/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,1000,0,S,1.512,1,90301398,ME PALETE HT EURO 1200X800X145 USADAS,,1,PAL,FALSE,11396167,3,2,CCS
1600062194,71000976,JT CR 1237/000 119-VW 3 00,ABER,,3801,ZCEJ,CCS EMB Juntas,3820009983,10,1512,UN,TRUE,,1/14/2022,1/14/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,1000,0,S,1.512,1,90300605,ME CX (+E) 1156X753X450 14151,,1,CX,FALSE,11396167,1,2,CCS
1600062206,71000320,JT CR GT56/000 102-BMW 1 02,ABER,,3801,ZCEJ,CCS EMB Juntas,3820010027,10,6000,UN,TRUE,,1/21/2022,1/21/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,7200,7200,H,0.833,1,71001267,"JT CR GT56/000 102-BMW 1,0 NE",,6000,UN,FALSE,11396063,3,3,CCS
1600062206,71000320,JT CR GT56/000 102-BMW 1 02,ABER,,3801,ZCEJ,CCS EMB Juntas,3820010027,10,6000,UN,TRUE,,1/21/2022,1/21/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,7200,7200,H,0.833,1,90301398,ME PALETE HT EURO 1200X800X145 USADAS,,2,PAL,FALSE,11396063,2,3,CCS
1600062206,71000320,JT CR GT56/000 102-BMW 1 02,ABER,,3801,ZCEJ,CCS EMB Juntas,3820010027,10,6000,UN,TRUE,,1/21/2022,1/21/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,7200,7200,H,0.833,1,90300605,ME CX (+E) 1156X753X450 14151,,3,CX,FALSE,11396063,1,3,CCS
1600062211,71000982,"JT ML C319/000 108-M 3,8 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009941,10,7000,UN,TRUE,,1/21/2022,1/21/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,20250,20250,H,0.346,1,90301076,ME ETIQ ELRING 102X23,,281,UN,FALSE,11396186,4,3,CCS
1600062211,71000982,"JT ML C319/000 108-M 3,8 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009941,10,7000,UN,TRUE,,1/21/2022,1/21/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,20250,20250,H,0.346,1,90300605,ME CX (+E) 1156X753X450 14151,,4,CX,FALSE,11396186,1,3,CCS
1600062211,71000982,"JT ML C319/000 108-M 3,8 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009941,10,7000,UN,TRUE,,1/21/2022,1/21/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,20250,20250,H,0.346,1,90301398,ME PALETE HT EURO 1200X800X145 USADAS,,2,PAL,FALSE,11396186,2,3,CCS
1600062211,71000982,"JT ML C319/000 108-M 3,8 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009941,10,7000,UN,TRUE,,1/21/2022,1/21/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,20250,20250,H,0.346,1,71001272,"JT ML C319/000 108-M 3,8 NE",,7000,UN,FALSE,11396186,3,3,CCS
1600062219,71000322,"JT ML C316/000 101-M 2,5 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009982,10,6000,UN,TRUE,,1/21/2022,1/21/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,12250,12250,H,0.49,1,71001276,"JT ML C316/000 101-M 2,5 NE",,6000,UN,FALSE,11396066,4,3,CCS
1600062219,71000322,"JT ML C316/000 101-M 2,5 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009982,10,6000,UN,TRUE,,1/21/2022,1/21/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,12250,12250,H,0.49,1,90301398,ME PALETE HT EURO 1200X800X145 USADAS,,3,PAL,FALSE,11396066,2,3,CCS
1600062219,71000322,"JT ML C316/000 101-M 2,5 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009982,10,6000,UN,TRUE,,1/21/2022,1/21/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,12250,12250,H,0.49,1,90301076,ME ETIQ ELRING 102X23,,240,UN,FALSE,11396066,3,3,CCS
1600062219,71000322,"JT ML C316/000 101-M 2,5 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009982,10,6000,UN,TRUE,,1/21/2022,1/21/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,12250,12250,H,0.49,1,90300605,ME CX (+E) 1156X753X450 14151,,5,CX,FALSE,11396066,1,3,CCS
1600062222,71001559,"JT CI 5351/000 102-AU 3,7 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009929,20,5000,UN,TRUE,,1/21/2022,1/21/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,18000,18000,H,0.278,1,71001439,"JT CI 5351/000 102-AU 3,7 NE",,5000,UN,FALSE,11396217,4,3,CCS
1600062222,71001559,"JT CI 5351/000 102-AU 3,7 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009929,20,5000,UN,TRUE,,1/21/2022,1/21/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,18000,18000,H,0.278,1,90301076,ME ETIQ ELRING 102X23,,200,UN,FALSE,11396217,3,3,CCS
1600062222,71001559,"JT CI 5351/000 102-AU 3,7 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009929,20,5000,UN,TRUE,,1/21/2022,1/21/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,18000,18000,H,0.278,1,90301398,ME PALETE HT EURO 1200X800X145 USADAS,,2,PAL,FALSE,11396217,2,3,CCS
1600062222,71001559,"JT CI 5351/000 102-AU 3,7 01",ABER,,3801,ZCEJ,CCS EMB Juntas,3820009929,20,5000,UN,TRUE,,1/21/2022,1/21/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,18000,18000,H,0.278,1,90300605,ME CX (+E) 1156X753X450 14151,,3,CX,FALSE,11396217,1,3,CCS
1600062227,71000332,JT CR GT56/000 104-BMW 1 01,ABER,,3801,ZCEJ,CCS EMB Juntas,3820010030,10,2000,UN,TRUE,,1/21/2022,1/21/2022,1,10,EMBALAR JUNTAS,,CCSEMBJT,14000,14000,H,0.143,1,90300605,ME CX (+E) 1156X753X450 14151,,2,CX,FALSE,11396071,1,3,CCS
